title;organizers;url
From light curves to rotation periods, and then ages via gyrochronology - where do we stand, and where do we go from here?; Sydney Barnes (AIP Potsdam), Soeren Meibom (CfA), Jose Dias do Nascimento (UFRM), Silva Jarvinen (Potsdam);"https://meetings.aip.de/cs20-splinter/cms/"
Stellar Brightness Variations: building on the solar knowledge;Gibor Basri (Berekeley), Natalie Krivova (MPS), Alexander Shapiro (MPS), Sami Solanki (MPS), Yvonne Unruh (Imperial), Veronika Witzke (MPS);""
Brown Dwarfs, Lowâ€“Mass Stars, and Directly Imaged Exoplanets in the Era of Gaia;Jackie Faherty (AMNH), John Bochanski (Rider), Jonathan Gagne (Carnegie/ DTM);"http://www.jackiefaherty.com/cool-stars-20-splinter/"
Advances in Computational Astrophysics and the Solar-Stellar-Planetary Connection;Mark Giampapa (NSO), Madhulika Guhathakurta (NASA/HQ), Marc DeRosa (Lockheed), Jay Bookbinder(NASA/AMES), Derek Buzasi (FGCU);""
Solar Physics with the DKIST;Adam Kowalski (NSO), Gianna Cauzzi (NSO), Valentin (NSO), Pillet (NSO), Mark Rast (CU/LASP), Thomas Rimmele (NSO);""
Benchmarks, and How to Benchmark Them: Cutting-Edge Science and a Data Challenge for Eclipsing Binary Systems;Adam Kraus (UT- Austin) Leslie Hebb (Hobart & William Smith), Andrew Mann (Columbia), Keivan Stassun (Vanderbilt), Guillermo Torres (CfA);""
Formation and evolution of star clusters in the Gaia Era;G.G. Sacco (Arcetri) E.Alfaro (CSIC), R. Jeffries (Keele), M. Mapelli (Innsbruck, INAF), E. Moraux (Grenoble), R.J.Parker (Sheffield) N. Wright (Keele), E. Zari (Leiden);"http://www.arcetri.astro.it/~gsacco/CS20_splinter/index.html"
Know Thy Starspot, Know Thy Star;Garrett Somers (Vanderbilt University), Rachael Roettenbacher (Stockholm University), James Davenport (Western Washington University, University of Washington), Michael Gully-Santiago (NASA Ames);"https://knowthystarspot.github.io/"
Meter- to Millimeter Emission from Cool Stellar Systems: Latest Results, Synergies Across the Spectrum, and Outlook for the Next Decade;Peter Williams (CfA) Jan Forbrich (Hertfordshire), Edo Berger (CfA), Manuel Gudel (Vienna), Rachel Osten (HST);"http://coolstars20.cfa.harvard.edu/meter-to-mm/"
